Lon Lat
-117.341965 35.545177 0.000000
-117.342339 35.545513 0.000000
-117.342705 35.545849 0.000000
-117.343071 35.546181 0.000000
-117.343445 35.546516 0.000000
-117.343811 35.546852 0.000000
-117.344185 35.547184 0.000000
-117.344551 35.547520 0.000000
-117.344925 35.547852 0.000000
-117.345291 35.548187 0.000000
-117.345665 35.548519 0.000000
-117.346039 35.548851 0.000000
-117.346405 35.549187 0.000000
-117.346779 35.549519 0.000000
-117.347153 35.549850 0.000000
-117.347519 35.550186 0.000000
-117.347893 35.550518 0.000000
-117.348267 35.550850 0.000000
-117.348640 35.551186 0.000000
-117.349007 35.551517 0.000000
-117.349380 35.551853 0.000000
-117.349754 35.552185 0.000000
-117.350128 35.552517 0.000000
-117.350502 35.552849 0.000000
-117.350876 35.553181 0.000000
-117.351250 35.553513 0.000000
-117.351616 35.553844 0.000000
-117.351990 35.554176 0.000000
-117.352364 35.554504 0.000000
-117.352737 35.554836 0.000000
-117.353111 35.555168 0.000000
-117.353485 35.555500 0.000000
-117.353859 35.555832 0.000000
-117.354240 35.556160 0.000000
-117.354614 35.556492 0.000000
-117.354988 35.556824 0.000000
-117.355362 35.557152 0.000000
-117.355736 35.557484 0.000000
-117.356110 35.557816 0.000000
-117.356483 35.558144 0.000000
-117.356857 35.558475 0.000000
-117.357239 35.558807 0.000000
-117.357613 35.559135 0.000000
-117.357986 35.559467 0.000000
-117.358360 35.559795 0.000000
-117.358742 35.560127 0.000000
-117.359116 35.560455 0.000000
-117.359489 35.560783 0.000000
-117.359863 35.561115 0.000000
-117.360245 35.561443 0.000000
-117.360619 35.561775 0.000000
-117.360992 35.562103 0.000000
-117.361374 35.562431 0.000000
-117.361748 35.562763 0.000000
-117.362122 35.563091 0.000000
-117.362503 35.563419 0.000000
-117.362877 35.563751 0.000000
-117.363258 35.564079 0.000000
-117.363632 35.564407 0.000000
-117.364006 35.564735 0.000000
-117.364388 35.565067 0.000000
-117.364761 35.565395 0.000000
-117.365143 35.565723 0.000000
-117.365517 35.566051 0.000000
-117.365898 35.566383 0.000000
-117.366272 35.566711 0.000000
-117.366653 35.567039 0.000000
-117.367027 35.567368 0.000000
-117.367401 35.567696 0.000000
-117.367783 35.568024 0.000000
-117.368156 35.568356 0.000000
-117.368538 35.568684 0.000000
-117.368912 35.569012 0.000000
-117.369293 35.569340 0.000000
-117.369675 35.569668 0.000000
-117.370049 35.569996 0.000000
-117.370430 35.570324 0.000000
-117.370811 35.570652 0.000000
-117.371185 35.570976 0.000000
-117.371567 35.571304 0.000000
-117.371948 35.571629 0.000000
-117.372337 35.571953 0.000000
-117.372719 35.572277 0.000000
-117.373100 35.572601 0.000000
-117.373482 35.572926 0.000000
-117.373871 35.573250 0.000000
-117.374252 35.573574 0.000000
-117.374641 35.573895 0.000000
-117.375031 35.574219 0.000000
-117.375412 35.574539 0.000000
-117.375801 35.574860 0.000000
-117.376190 35.575184 0.000000
-117.376579 35.575504 0.000000
-117.376961 35.575825 0.000000
-117.377350 35.576145 0.000000
-117.377739 35.576466 0.000000
-117.378128 35.576786 0.000000
-117.378517 35.577110 0.000000
-117.378906 35.577431 0.000000
